# ----------------------------------------
# סקירה כללית של היעד "ניתוח התנועה באתר או באפליקציה"
# חשבון: shukway
# נכס: shukway web
# ----------------------------------------
#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
משתמשים שביצעו גלילה,פעילויות באתר,משתמשים חוזרים,ביקורים ראשונים
2386,5059,603,3084

#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
מזהה מדינה,משתמשים פעילים
קטגוריות | ShukWay,565
מפה | ShukWay,417
פרופיל | ShukWay,397
קטגוריה | ShukWay,380
אוכל ושתייה בשוק מחנה יהודה | ShukWay,317
מסלול | ShukWay,297
התחברות | ShukWay,295
עסק | ShukWAY,261
Food & Drinks בשוק מחנה יהודה | ShukWay,192
מסלולים | ShukWay,151
מפת מסלול | ShukWay,147
אוכל רחוב בשוק מחנה יהודה | ShukWay,144
אירוע | ShukWay,115
מסעדות בשוק מחנה יהודה | ShukWay,98
סיור קולינרי | ShukWay,98
Street Food בשוק מחנה יהודה | ShukWay,91
שירותים ציבוריים בשוק מחנה יהודה | ShukWay,73
אודות | ShukWay,66
שוק וקניות בשוק מחנה יהודה | ShukWay,65
חניונים בשוק מחנה יהודה | ShukWay,61
אירועים | ShukWay,59
Restaurants בשוק מחנה יהודה | ShukWay,56
הפנינה של ירושלים | שוק מחנה יהודה | ShukWAY,52
משקאות אגריפס — חנות יין ואלכוהול | שוק מחנה יהודה | ShukWAY,47
ShukWay | Mahane Yehuda Market,45
"חניון שוק קניון — חניה, אגריפס 90 | שוק מחנה יהודה | ShukWAY",43
הפנינה של ירושלים — בר שתייה | שוק מחנה יהודה | ShukWAY,42
"נונה — מופלטות, התות 3 | שוק מחנה יהודה | ShukWAY",42
"מסעדת הקצבים — מסעדת בשרים, אגריפס 48 | שוק מחנה יהודה | ShukWAY",40
שירותים חיוניים בשוק מחנה יהודה | ShukWay,39
TRENDVAULT – Your Home. Upgraded.,37
"יין בשוק — חנות יין ואלכוהול, אגריפס 63 | שוק מחנה יהודה | ShukWAY",33
הרשמה | ShukWay,30
"מרציפן — קונדיטוריה, אגריפס 46 | שוק מחנה יהודה | ShukWAY",30
בתי קפה בשוק מחנה יהודה | ShukWay,29
"כנאפה ירושלים — כנאפה, עץ חיים 24 | שוק מחנה יהודה | ShukWAY",29
צופית — גלידה | שוק מחנה יהודה | ShukWAY,29
צור קשר | ShukWay,29
Fruits & Vegetables בשוק מחנה יהודה | ShukWay,28
מתוקים בשוק מחנה יהודה | ShukWay,28
Bars & Alcohol בשוק מחנה יהודה | ShukWay,27
דובשנית — מאפייה | שוק מחנה יהודה | ShukWAY,26
Essential Services בשוק מחנה יהודה | ShukWay,25
פריטים שמורים | ShukWay,24
"צופית — גלידה, אגריפס 44 | שוק מחנה יהודה | ShukWAY",24
מאפיות וקונדיטוריות בשוק מחנה יהודה | ShukWay,23
רולדין | שוק מחנה יהודה | ShukWAY,23
Your Shopping Cart,22
Public Facilities בשוק מחנה יהודה | ShukWay,20
"אריכא סביח — סביח, אגריפס 83 | שוק מחנה יהודה | ShukWAY",20
חניון בנין עיני | שוק מחנה יהודה | ShukWAY,20
פסטיבל אוכל לילי | ShukWay,20
תת-קטגוריה | ShukWay,20
"Power Coffeeworks — בית קלייה, יפו 105 | שוק מחנה יהודה | ShukWAY",19
כספומט בשוק מחנה יהודה | ShukWay,19
מסעדת הקצבים — מסעדת בשרים | שוק מחנה יהודה | ShukWAY,19
נונה — מופלטות | שוק מחנה יהודה | ShukWAY,19
"באבי — מסעדת בשרים, שמואל ברוך 1 | שוק מחנה יהודה | ShukWAY",18
Gifts & Judaica בשוק מחנה יהודה | ShukWay,17
"HaKatzavim Agripas — Steakhouse, Agrippas 48 | Mahane Yehuda Market |…",17
"דובשנית — מאפייה, אגריפס 66 | שוק מחנה יהודה | ShukWAY",17
"המטבח גריל שוק ירושלמי — שיפודים, מחנה יהודה 7 | שוק מחנה יהודה | ShukWAY",17
חניון בנין עיני — חניה | שוק מחנה יהודה | ShukWAY,17
עזרה | ShukWay,17
Market & Shopping בשוק מחנה יהודה | ShukWay,16
"אקה — שווארמה, השיקמה 6 | שוק מחנה יהודה | ShukWAY",16
בנצי דגים — דגים טריים | שוק מחנה יהודה | ShukWAY,16
"בנצי דגים — דגים טריים, אליהו יעקב בנאי 3 | שוק מחנה יהודה | ShukWAY",16
משקאות אגריפס | שוק מחנה יהודה | ShukWAY,16
עריכת פרופיל | ShukWay,16
Yain BaShuk Agripas 63 — Wine & Alcohol Shop | Mahane…,15
"בורקס רמלה — בורקס, אגריפס 44 | שוק מחנה יהודה | ShukWAY",15
"חנונה — שניצל, אגריפס 54 | שוק מחנה יהודה | ShukWAY",15
מרציפן — קונדיטוריה | שוק מחנה יהודה | ShukWAY,15
קצביות ודגים בשוק מחנה יהודה | ShukWay,15
שרותים ציבוריים — שירותים | שוק מחנה יהודה | ShukWAY,15
בורקס רמלה — בורקס | שוק מחנה יהודה | ShukWAY,14
"האחים נחמיה משקאות — חנות יין ואלכוהול, אגריפס 73 | שוק מחנה יהודה |…",14
הגדרות | ShukWay,14
מעדניות וחמוצים בשוק מחנה יהודה | ShukWay,14
"איש האתרוגים — בר מיצים, האגוז 10 | שוק מחנה יהודה | ShukWAY",13
חלאתי — שניצל | שוק מחנה יהודה | ShukWAY,13
מיצים ושייקים בשוק מחנה יהודה | ShukWay,13
"10 Pack Reusable Food Storage Silicone Bags, 3 Large Food Storage Bags Gallon Fr | TRENDVAULT",12
Bakeries & Patisseries בשוק מחנה יהודה | ShukWay,12
"Bureks Ramla — Bourekas, Agrippas 44 | Mahane Yehuda Market | ShukWAY",12
Rimon Etz Chaim 87 — Fruits | Mahane Yehuda Market | ShukWAY,12
"Tzufit — Ice Cream, Agrippas 44 | Mahane Yehuda Market | ShukWAY",12
"אורבון — קפה ומאפים, השקמה 5 | שוק מחנה יהודה | ShukWAY",12
בורקס רמלה | שוק מחנה יהודה | ShukWAY,12
"הפנינה של ירושלים — בר שתייה, אליהו יעקב בנאי 7 | שוק מחנה יהודה | ShukWAY",12
"יפני — סושי, האגוז 3 | שוק מחנה יהודה | ShukWAY",12
"קפוצ׳ינו בשוק — גלידה, יפו 119 | שוק מחנה יהודה | ShukWAY",12
"Ahrala — Crepes & Waffles, Agrippas 72 | Mahane Yehuda Market | ShukWAY",11
Sweet Tour | ShukWay,11
"חניון בנין עיני — חניה, חלחול 2 | שוק מחנה יהודה | ShukWAY",11
"מג׳יק אייס — גלידה, עץ חיים 30 | שוק מחנה יהודה | ShukWAY",11
ממתקי עמי חיים — ממתקים | שוק מחנה יהודה | ShukWAY,11
"פיצ׳יני — פיצה, ארבעת המינים 6 שוק העיראקים | שוק מחנה יהודה | ShukWAY",11
פירות וירקות בשוק מחנה יהודה | ShukWay,11
"BABI — Steakhouse, Shmuel Baruch 1 | Mahane Yehuda Market | ShukWAY",10
"Power CoffeeWorks — Coffee Roastery, Jaffa 105 | Mahane Yehuda Market…",10
אופנה והנעלה בשוק מחנה יהודה | ShukWay,10
אינגליש קייק — קונדיטוריה | שוק מחנה יהודה | ShukWAY,10
"אלנתן בן חמו — פירות, מחנה יהודה 8 | שוק מחנה יהודה | ShukWAY",10
"אתרוג — תשמישי קדושה, אגריפס 67 | שוק מחנה יהודה | ShukWAY",10
ברים ואלכוהול בשוק מחנה יהודה | ShukWay,10
"חלאתי — שניצל, האגוז 9 | שוק מחנה יהודה | ShukWAY",10
יין בשוק — חנות יין ואלכוהול | שוק מחנה יהודה | ShukWAY,10
עראיס מחנה יהודה — עראיס | שוק מחנה יהודה | ShukWAY,10
שאקל — ציוד מטיילים | שוק מחנה יהודה | ShukWAY,10
תבלינים ופיצוחים בשוק מחנה יהודה | ShukWay,10
"Arikha Sabih — Sabich, Agrippas 83 | Mahane Yehuda Market | ShukWAY",9
Cafés בשוק מחנה יהודה | ShukWay,9
Home Organization – Trending Home Products | TRENDVAULT,9
"Joseph — Burger, Hashikma 6 | Mahane Yehuda Market | ShukWAY",9
Street food בשוק מחנה יהודה | ShukWay,9
Tzufit — Ice Cream | Mahane Yehuda Market | ShukWAY,9
"אלוף החמוצים — חמוצים וסלטים, מחנה יהודה 3 | שוק מחנה יהודה | ShukWAY",9
אקה — שווארמה | שוק מחנה יהודה | ShukWAY,9
אריכא סביח — סביח | שוק מחנה יהודה | ShukWAY,9
בנצי דגים | שוק מחנה יהודה | ShukWAY,9
"בשקביץ — חנות קפה ותבלינים, עץ חיים 32 | שוק מחנה יהודה | ShukWAY",9
"מוכתר פירות וירקות — פירות וירקות מעורב, מחנה יהודה 27 | שוק מחנה יהודה |…",9
מוצרי עישון בשוק מחנה יהודה | ShukWay,9
קפה ומאפים בשוק מחנה יהודה | ShukWay,9
רימון — פירות | שוק מחנה יהודה | ShukWAY,9
שאקל | שוק מחנה יהודה | ShukWAY,9
"שאקל — ציוד מטיילים, אגריפס 111 | שוק מחנה יהודה | ShukWAY",9
"שוק קפה — בית קלייה, האפרסק 8 | שוק מחנה יהודה | ShukWAY",9
"Ateliz Eleh — Fresh Meat, Ets Chaim 8 | Mahane Yehuda Market | ShukWAY",8
Butchers & Fish בשוק מחנה יהודה | ShukWay,8
Nourriture et boissons בשוק מחנה יהודה | ShukWay,8
אדרת — תשמישי קדושה | שוק מחנה יהודה | ShukWAY,8
"אטליז אלה — בשר טרי, עץ חיים 8 | שוק מחנה יהודה | ShukWAY",8
אתרוג — תשמישי קדושה | שוק מחנה יהודה | ShukWAY,8
"ביסראבק — המבורגר, אגריפס 121 | שוק מחנה יהודה | ShukWAY",8
"ברברה — בר אוכל, האגוז 30 | שוק מחנה יהודה | ShukWAY",8
ג׳וני & קובנה — מאפים תימניים | שוק מחנה יהודה | ShukWAY,8
"חמסה תכשיטים — תכשיטים בעבודת יד, יפו 96 | שוק מחנה יהודה | ShukWAY",8
כלי בית ומטבח בשוק מחנה יהודה | ShukWay,8
"ניו דלי — כריכים ונקניקים, אגריפס 62 | שוק מחנה יהודה | ShukWAY",8
עיצוב לבית בשוק מחנה יהודה | ShukWay,8
"עראיס מחנה יהודה — עראיס, אגריפס 115 | שוק מחנה יהודה | ShukWAY",8
פיצה בשוק מחנה יהודה | ShukWay,8
שניצל בשוק מחנה יהודה | ShukWay,8
"6 Pack Clear Pantry Organizer Bins, Plastic Containers with Handle for Kitchen,Freezer,Cabinet,Closet,Bathroom under Sink Storage | TRENDVAULT",7
"Burgers Bar — Burger, Etz Haim 68 | Mahane Yehuda Market | ShukWAY",7
Falafel בשוק מחנה יהודה | ShukWay,7
"Ish Haetrogim — Juice Bar, Haegoz 10 | Mahane Yehuda Market | ShukWAY",7
Spices & Nuts בשוק מחנה יהודה | ShukWay,7
Sweets בשוק מחנה יהודה | ShukWay,7
"Urbun — Coffee & Pastries, Hashikma 5 | Mahane Yehuda Market | ShukWAY",7
"אדידס — אופנה ספורט, יפו 105 | שוק מחנה יהודה | ShukWAY",7
"אהרלה — קרפים ווופלים, אגריפס 72 | שוק מחנה יהודה | ShukWAY",7
איש האתרוגים | שוק מחנה יהודה | ShukWAY,7
"בגדי ישי אהרן — בגדי נשים, מחנה יהודה 23 | שוק מחנה יהודה | ShukWAY",7
בורגר מרקט — המבורגר | שוק מחנה יהודה | ShukWAY,7
ההמלצות שלי | ShukWay,7
המתוקים של ארז | שוק מחנה יהודה | ShukWAY,7
המתוקים של מחניודה — ממתקים | שוק מחנה יהודה | ShukWAY,7
"הפריקסה של חיים — פריקסה, האגוז 6 | שוק מחנה יהודה | ShukWAY",7
"השווארמה הירושלמית — שווארמה, אגריפס 101 | שוק מחנה יהודה | ShukWAY",7
חצ׳אפוריה — חצאפורי | שוק מחנה יהודה | ShukWAY,7
יודאיקה בשוק מחנה יהודה | ShukWay,7
מסעדת בשרים בשוק מחנה יהודה | ShukWay,7
נגישות | ShukWay,7
"סמוקי — נרגילות ועישון, אגריפס 111 | שוק מחנה יהודה | ShukWAY",7
פיצ׳יני — פיצה | שוק מחנה יהודה | ShukWAY,7
רולדין — קונדיטוריה | שוק מחנה יהודה | ShukWAY,7
"רולדין — קונדיטוריה, יפו 110 | שוק מחנה יהודה | ShukWAY",7
"רפאלי י. שפירא בע״מ — כלי מטבח מקצועי, בית יעקב 5 | שוק מחנה יהודה |…",7
Cheeses בשוק מחנה יהודה | ShukWay,6
"Crave — Mexican Food, Hashikma 1 | Mahane Yehuda Market | ShukWAY",6
HaKatzavim Agripas — Steakhouse | Mahane Yehuda Market |…,6
"Jahanun Bar — Yemenite Pastries, Haegoz 14 | Mahane Yehuda Market |…",6
Joni and kubaneh — Yemenite Pastries | Mahane Yehuda…,6
Juices & Smoothies בשוק מחנה יהודה | ShukWay,6
Rimon_Etz_Chaim_59 — Fruits | Mahane Yehuda Market | ShukWAY,6
Soups & Stews בשוק מחנה יהודה | ShukWay,6
Vegan & Vegetarian בשוק מחנה יהודה | ShukWay,6
"אינגליש קייק — קונדיטוריה, אגריפס 103 | שוק מחנה יהודה | ShukWAY",6
איש האתרוגים — בר מיצים | שוק מחנה יהודה | ShukWAY,6
"ארומה אספרסו בר — קפה ומאפים, מחנה יהודה 32 | שוק מחנה יהודה | ShukWAY",6
אריכא סביח | שוק מחנה יהודה | ShukWAY,6
"באשר — גבינות, עץ חיים 53 | שוק מחנה יהודה | ShukWAY",6
"בורגר מרקט — המבורגר, אגריפס 70 | שוק מחנה יהודה | ShukWAY",6
"בית טבע הדסא — חנות טבע, בית יעקב 2 | שוק מחנה יהודה | ShukWAY",6
גלידה בשוק מחנה יהודה | ShukWay,6
ג׳וזף — המבורגר | שוק מחנה יהודה | ShukWAY,6
דגים טריים בשוק מחנה יהודה | ShukWay,6
"המתוקים של מחניודה — ממתקים, השזיף 2 | שוק מחנה יהודה | ShukWAY",6
"הצעקה האחרונה — מסגור תמונות, יפו 80 | שוק מחנה יהודה | ShukWAY",6
הקצביה של ששון — עופות | שוק מחנה יהודה | ShukWAY,6
חצאפורי בשוק מחנה יהודה | ShukWay,6
"חצ׳אפוריה — חצאפורי, השיקמה 5 | שוק מחנה יהודה | ShukWAY",6
"טמבור — טמבורייה, יפו 128 | שוק מחנה יהודה | ShukWAY",6
"יואל צוקרמן — כלי בית, יפו 76 | שוק מחנה יהודה | ShukWAY",6
כנאפה ירושלים — כנאפה | שוק מחנה יהודה | ShukWAY,6
"מ. פרידס — כלי בית, אגריפס 60 | שוק מחנה יהודה | ShukWAY",6
"עולם הטבע — חנות טבע, אגריפס 65 | שוק מחנה יהודה | ShukWAY",6
פיש אנד ציפס בשוק מחנה יהודה | ShukWay,6
"צחי דגים — דגים טריים, התפוח 13 | שוק מחנה יהודה | ShukWAY",6
"קאסאדילה אסנסיו — אוכל מקסיקני, אגריפס 111 | שוק מחנה יהודה | ShukWAY",6
שירותים ותחבורה בשוק מחנה יהודה | ShukWay,6
שירותים מקצועיים בשוק מחנה יהודה | ShukWay,6
תנאי שימוש | ShukWay,6
ATM בשוק מחנה יהודה | ShukWay,5
Acupressure Pillow with Storage Bag for Neck Back Foot Massage Pads Acupressure Mat Pillow Set Improves Bloods Circulation Mat | TRENDVAULT,5
Aka — Shawarma | Mahane Yehuda Market | ShukWAY,5
"Aka — Shawarma, Hashikma 6 | Mahane Yehuda Market | ShukWAY",5
"Basta Bar — Gastropub, Hashezif 18 | Mahane Yehuda Market | ShukWAY",5
Bureks Ramla — Bourekas | Mahane Yehuda Market | ShukWAY,5
"Chalati — Schnitzel, Haegoz 9 | Mahane Yehuda Market | ShukWAY",5
Extendable Bamboo Bathtub Caddy Tray W/ Wine Glass Holder Book Stand Phone Slot | TRENDVAULT,5
"Hashamen — Shawarma, Agrippas 115 | Mahane Yehuda Market | ShukWAY",5
Home Organization – Trending Home Products | TrendVault,5
"Knaf — Meat Knafeh, Haegoz 15 | Mahane Yehuda Market | ShukWAY",5
Poultry בשוק מחנה יהודה | ShukWay,5
Power Coffeeworks — בית קלייה | שוק מחנה יהודה | ShukWAY,5
Public Restrooms Agripas 111 — Restrooms | Mahane Yehuda…,5
אברהמי — תבלינים | שוק מחנה יהודה | ShukWAY,5
"אברהמי — תבלינים, האגוז 22 | שוק מחנה יהודה | ShukWAY",5
אהרלה — קרפים ווופלים | שוק מחנה יהודה | ShukWAY,5
אורבון — קפה ומאפים | שוק מחנה יהודה | ShukWAY,5
איטליז התאומים מגזימוף — בשר טרי | שוק מחנה יהודה | ShukWAY,5
